,company_id,2014-01-01_payments,2014-02-01_payments,2014-03-01_payments,2014-04-01_payments,2014-05-01_payments,2014-06-01_payments,2014-07-01_payments,2014-08-01_payments,2014-09-01_payments,2014-10-01_payments,2014-11-01_payments,2014-12-01_payments,2014-01-01_mandates,2014-02-01_mandates,2014-03-01_mandates,2014-04-01_mandates,2014-05-01_mandates,2014-06-01_mandates,2014-07-01_mandates,2014-08-01_mandates,2014-09-01_mandates,2014-10-01_mandates,2014-11-01_mandates,2014-12-01_mandates,vertical,incorporation_date
742,821,0.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,7.0,8.0,11.0,13.0,51.0,40.0,58.0,42.0,49.0,71.0,67.0,77.0,59.0,53.0,38.0,34.0,gym/fitness,2010-08-15
743,822,73.0,75.0,90.0,88.0,85.0,84.0,83.0,95.0,102.0,103.0,110.0,107.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2008-02-17
744,823,0.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2009-09-08
745,824,0.0,5.0,12.0,11.0,10.0,13.0,15.0,11.0,19.0,19.0,15.0,15.0,21.0,19.0,11.0,11.0,15.0,1.0,10.0,4.0,3.0,18.0,3.0,11.0,freelance developer,2003-11-21
746,828,0.0,0.0,0.0,0.0,6.0,36.0,22.0,8.0,17.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gym/fitness,2005-05-11
747,829,53.0,17.0,0.0,28.0,62.0,33.0,30.0,5.0,12.0,59.0,10.0,6.0,0.0,0.0,7.0,9.0,4.0,6.0,4.0,5.0,5.0,9.0,7.0,2.0,freelance developer,2011-10-09
748,831,0.0,0.0,2.0,9.0,13.0,3.0,17.0,9.0,24.0,9.0,1.0,1.0,0.0,5.0,1.0,3.0,2.0,8.0,3.0,2.0,5.0,1.0,2.0,1.0,freelance developer,2005-07-21
749,832,54.0,55.0,72.0,81.0,96.0,104.0,110.0,141.0,144.0,153.0,156.0,158.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,gym/fitness,2010-07-27
750,833,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,freelance developer,2009-06-14
751,834,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,freelance developer,2004-05-11
752,836,0.0,2.0,4.0,4.0,4.0,5.0,7.0,2.0,5.0,2.0,1.0,6.0,20.0,22.0,2.0,3.0,0.0,4.0,2.0,3.0,4.0,1.0,2.0,2.0,gym/fitness,2005-05-17
753,837,0.0,0.0,0.0,3.0,2.0,4.0,5.0,6.0,10.0,9.0,11.0,15.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,gym/fitness,2013-03-05
